DATE,TIME,TIMESTAMP,DID,MODE,ANGLE
2021-08-29,11:14:23,1630235582,A676231332,MANUAL,-0.1
2021-08-29,11:14:24,1630235583,A676241333,MANUAL,0.0
2021-08-29,11:14:26,1630235584,A676251334,MANUAL,0.6
2021-08-29,11:14:27,1630235580,A676261335,MANUAL,0.7
2021-08-29,11:14:28,1630235580,A676271336,MANUAL,0.2
2021-08-29,11:14:29,1630235581,A676281337,MANUAL,-0.1
2021-08-29,11:14:31,1630235582,A676291338,MANUAL,0.1
2021-08-29,11:14:36,1630235543,A676311340,MANUAL,-0.2
2021-08-29,11:14:37,1630235543,A676321341,MANUAL,0.1
2021-08-29,11:14:38,1630235544,A676331342,MANUAL,0.0
2021-08-29,11:14:40,1630235544,A676341343,MANUAL,0.3
2021-08-29,11:14:41,1630235545,A676351344,MANUAL,0.1
2021-08-29,11:14:42,1630235543,A676361345,MANUAL,-0.0
2021-08-29,11:14:43,1630235544,A676371346,MANUAL,4.0
2021-08-29,11:14:48,1630235545,A676391348,MANUAL,0.4
2021-08-29,11:14:49,1630235494,A676401349,MANUAL,-0.0
2021-08-29,11:14:51,1630235542,A676411350,MANUAL,-0.6
2021-08-29,11:14:52,1630235543,A676421351,MANUAL,-0.0
2021-08-29,11:14:53,1630235544,A676431352,MANUAL,2.2
2021-08-29,11:14:54,1630235544,A676441353,MANUAL,0.1
2021-08-29,11:14:55,1630235544,A676451354,MANUAL,-0.5
2021-08-29,11:14:56,1630235544,A676461355,MANUAL,0.6
2021-08-29,11:14:57,1630235544,A676471356,MANUAL,0.0
2021-08-29,11:14:58,1630235545,A676481357,MANUAL,-0.2
2021-08-29,11:15:00,1630235546,A676491358,MANUAL,-1.8
2021-08-29,11:15:01,1630235546,A676501359,MANUAL,0.2
2021-08-29,11:15:02,1630235539,A676511360,MANUAL,0.0
2021-08-29,11:15:03,1630235540,A676521361,MANUAL,-0.0
2021-08-29,11:15:04,1630235540,A676531362,MANUAL,-0.4
2021-08-29,11:15:06,1630235541,A676541363,MANUAL,0.1
2021-08-29,11:15:07,1630235541,A676551364,MANUAL,-0.1
2021-08-29,11:15:08,1630235541,A676561365,MANUAL,1.2
2021-08-29,11:15:09,1630235541,A676571366,MANUAL,0.4
2021-08-29,11:15:11,1630235542,A676581367,MANUAL,-0.1
2021-08-29,11:15:12,1630235542,A676591368,MANUAL,-0.5
2021-08-29,11:15:14,1630235543,A676601369,MANUAL,-0.0
2021-08-29,11:15:15,1630235513,A676611370,MANUAL,0.0
2021-08-29,11:15:16,1630235707,A676621371,MANUAL,-0.3
2021-08-29,11:20:31,1630236021,A675921301,MANUAL,0.0
2021-08-29,11:20:33,1630236022,A675931302,MANUAL,0.1
2021-08-29,11:20:34,1630236023,A675941303,MANUAL,0.0
2021-08-29,11:20:35,1630236025,A675951304,MANUAL,-1.3
2021-08-29,11:20:36,1630236017,A675961305,MANUAL,-0.5
2021-08-29,11:20:37,1630236018,A675971306,MANUAL,-0.1
2021-08-29,11:20:39,1630236018,A675981307,MANUAL,0.1
2021-08-29,11:20:40,1630236018,A675991308,MANUAL,-0.0
2021-08-29,11:20:41,1630236019,A676001309,MANUAL,0.2
2021-08-29,11:20:42,1630236018,A676011310,MANUAL,0.2
2021-08-29,11:20:43,1630236019,A676021311,MANUAL,-0.1
2021-08-29,11:20:45,1630236000,A676031312,MANUAL,-0.1
2021-08-29,11:20:46,1630236017,A676041313,MANUAL,0.9
2021-08-29,11:20:47,1630236018,A676051314,MANUAL,-0.0
2021-08-29,11:20:49,1630236008,A676061315,MANUAL,0.2
2021-08-29,11:20:50,1630236008,A676071316,MANUAL,0.0
2021-08-29,11:20:51,1630236009,A676081317,MANUAL,-0.1
2021-08-29,11:20:52,1630236009,A676091318,MANUAL,-0.7
2021-08-29,11:20:54,1630236010,A676101319,MANUAL,0.8
2021-08-29,11:20:55,1630236008,A676111320,MANUAL,0.1
2021-08-29,11:20:56,1630236008,A676121321,MANUAL,-0.1
2021-08-29,11:21:01,1630236009,A676141323,MANUAL,0.0
2021-08-29,11:21:02,1630236010,A676151324,MANUAL,-0.1
2021-08-29,11:21:03,1630235993,A676161325,MANUAL,0.2
2021-08-29,11:21:04,1630235994,A676171326,MANUAL,0.0
2021-08-29,11:21:06,1630235994,A676181327,MANUAL,0.8
2021-08-29,11:21:07,1630235995,A676191328,MANUAL,0.0
2021-08-29,11:21:08,1630235995,A676201329,MANUAL,0.3
2021-08-29,11:21:09,1630235990,A676211330,MANUAL,-0.4
2021-08-29,11:21:10,1630235990,A676221331,MANUAL,0.0
2021-08-29,11:21:11,1630235991,A676231332,MANUAL,-0.1
2021-08-29,11:21:13,1630235991,A676241333,MANUAL,0.0
2021-08-29,11:21:14,1630235992,A676251334,MANUAL,0.6
2021-08-29,11:21:15,1630235988,A676261335,MANUAL,0.6
2021-08-29,11:21:17,1630235989,A676271336,MANUAL,0.2
2021-08-29,11:21:21,1630235992,A676291338,MANUAL,0.1
2021-08-29,11:21:22,1630235912,A676301339,MANUAL,-0.0
2021-08-29,11:21:23,1630235950,A676311340,MANUAL,-0.2
2021-08-29,11:21:25,1630235951,A676321341,MANUAL,0.1
2021-08-29,11:21:26,1630235952,A676331342,MANUAL,0.0
2021-08-29,11:21:28,1630235952,A676341343,MANUAL,0.3
2021-08-29,11:21:29,1630235953,A676351344,MANUAL,0.1
2021-08-29,11:21:30,1630235951,A676361345,MANUAL,-0.0
2021-08-29,11:21:31,1630235952,A676371346,MANUAL,4.0
2021-08-29,11:21:36,1630235953,A676391348,MANUAL,0.4
2021-08-29,11:21:37,1630235902,A676401349,MANUAL,0.0
2021-08-29,11:21:38,1630235950,A676411350,MANUAL,-0.5
2021-08-29,11:21:39,1630235950,A676421351,MANUAL,-0.0
2021-08-29,11:21:40,1630235951,A676431352,MANUAL,2.2
2021-08-29,11:21:41,1630235952,A676441353,MANUAL,0.1
2021-08-29,11:21:43,1630235952,A676451354,MANUAL,-0.5
2021-08-29,11:21:44,1630235951,A676461355,MANUAL,0.5
2021-08-29,11:21:45,1630235952,A676471356,MANUAL,0.0
2021-08-29,11:21:46,1630235953,A676481357,MANUAL,-0.2
2021-08-29,11:21:48,1630235954,A676491358,MANUAL,-1.8
2021-08-29,11:21:49,1630235954,A676501359,MANUAL,0.2
2021-08-29,11:21:50,1630235947,A676511360,MANUAL,0.0
